Clavennas-cha	15
Clavennas-chas	15
Clavennas-chs	15
Clavuot	102
Clavuots	15
Clemens	74
Clerc	15
Clergia	53
Clergias	15
Clo	98
Cloa	15
Cloas	15
Clos	59
Clostra	126
Clostra-Serneus	35
Club	140
Clubs	56
Clugen	45
Clugin	27
Clà	108
Clàs	15
Coca-Cola	45
Collenberg	93
Cologna	99
Colossenser	15
Colossensers	27
Colossensra	15
Colossensras	15
Columbia	58
Com	84
Confederaziun	112
Confederaziuns	15
Conrad	121
Conrad-Grond	15
Conrad-Selm	48
Conradin	104
Conradins	40
Constant	99
Constantin	77
Constantins	15
Constants	15
Constanza	88
Constanzas	15
Coop	115
Coray	71
Coray-Vital	15
Corea	71
Corea-Süd	15
Corean	35
Coreana	15
Coreanas	15
Coreans	15
Coreas	15
Corina	106
Corinas	15
Corinne	70
Corint	27
Cornelia	97
Cornelias	15
Cors	51
Corsa	40
Corsas	15
Corsica	45
Corsin	99
Corsins	15
Cosovar	15
Cosovara	15
Cosovaras	15
Cosovars	15
Cosovo	53
Cosovo-Albanais	15
Cosovos	15
Costa	83
Cotti	88
Cracovia	15
Crameri	89
Crispin	79
Crispins	15
Cristel	51
Cristels	15
Cristian	89
Cristians	56
Cristina	80
Cristinas	15
Cristof	27
Cristoffel	61
Cristoffels	15
Cristofs	15
Cristus	103
Croat	40
Croata	35
Croatas	15
Croats	35
Croazia	63
Crusch	112
Cuba	71
Cuban	15
Cubana	15
Cubanas	15
Cubans	15
Cull'UdG	15
Cumbel	69
Cumpadials	27
Cunigunda	27
Cunigundas	15
Cunter	103
Cuoira	154
Curadin	68
Curadins	15
Curaglia	61
Curd	15
Curda	15
Curdas	15
Curdin	129
Curdins	27
Curds	59
Curo	56
Curos	15
Curvalda	27
Cuttüra	69
Cuvlignas	64
Cédric	45
Céline	35
DJ	69
DJs	15
DRG	103
DVD	65
DVDs	15
Da	172
Dadaissem	15
Dalin	45
Dalmat	15
Dalmata	15
Dalmatas	15
Dalmats	15
Dalmazia	45
Dalmazias	15
Damal	90
Danais	40
Danaisa	15
Danaisas	15
Danemarc	68
Daniel	130
Daniela	102
Danielas	15
Daniels	15
Danis	66
Danis-Tavanasa	48
Danubi	61
Danubida	15
Danubidas	15
Danubits	15
Danuder	106
Dardin	61
Dario	105
Dario-Andri	40
Darms	70
Darms-Landolt	27
Davatz	58
David	107
Davide	56
Davids	15
Debora	45
Deborah	53
Deboras	15
Decurtins	94
Dedual	15
Deflorin	68
Degen	74
Degiacomi	90
Degonda	66
Deia	15
Deias	15
Deis	72
Demarmels	27
Demont	27
Dench	15
Denchs	15
Denis	35
Denise	78
Denner	58
Denoth	134
Denoth-Jäger	15
Denoth-Melcher	35
Deplazes	83
Dermont	61
Derungs	122
Derungs-Schorta	15
Deta	51
Detas	15
Diana	80
Diego	94
Dieter	90
Dietrich	84
Dieu	131
Dieuminaguarda	15
Dionis	15
Disentis	40
Disney	40
Dolf	75
Dolomitas	89
Domat	117
Domenic	142
Domenica	88
Domenicas	15
Domenics	15
Dominic	58
Dominik	74
Donat	90
Donath	45
Dora	85
Doras	15
Doris	84
Dosch	78
Dubois	35
Duff	69
Duin	58
Dumeng	105
Dumengs	35
Dumeni	71
Dumenic	95
Dumenics	15
Duno	51
Dunos	15
Duosch	79
Duoschs	15
Duri	146
Durietta	15
Duriettas	15
Duris	15
Durisch	58
Duschletta	106
Duvin	51
Eberle	35
Ebreer	15
Ebreera	15
Ebreeras	15
Ebreers	35
Edith	66
Eduard	84
Eduards	15
Eggenberger	56
Egger	74
Egipta	68
Egipzian	35
Egipziana	15
Egipzianas	15
Egipzians	40
Egli	79
Eichenberger	45
Eivna	48
Eivnas	78
El	180
Elena	85
Elenas	15
Eli	15
Elia	27
Eliane	61
Elias	48
Elis	15
Elisa	56
Elisabeth	99
Elisas	15
Ella	165
Ellas	128
Els	156
Elsa	58
Elsas	15
Elsbeth	63
Elscha	15
Elschas	15
Elvedi	40
Elvet	15
Elveta	15
Elvetas	15
Elvets	15
Elvezia	40
Emerita	58
Emeritas	15
Emigl	15
Emiglia	15
Emiglias	15
Emigls	15
Emil	108
Emilia	61
Emilie	53
Emils	15
Emma	65
Emmas	15
Emmaus	15
Emmenegger	75
Ems	64
En	148
Engel	71
Engiadin'Ota	146
Engiadin'Ota-Bergiaglia-Puschlav-Surset	15
Engiadin'Ota-Bravuogn	15
Engiadin'Otas	15
Engiadina	181
Engiadina-San	27
Engiadina-Scuol	53
Engiadina-Val	40
Engiadinaisas	77
Engiadinas	48
Enrietta	15
Enriettas	15
Epp	15
Erasmus	51
Eric	73
Erica	95
Ericas	15
Erich	95
Erika	84
Eritrea	15
Eritrean	15
Eritreana	15
Eritreanas	15
Eritreans	15
Eritreas	15
Ermina	27
Erminas	15
Ernest	53
Ernests	15
Erni	106
Ernst	112
Erwin	108
Esaja	68
Esajas	15
Esau	15
Esaus	15
Eskimo	15
Eskimos	40
Esra	15
Esras	15
Ester	51
Esters	45
Esther	96
Eston	15
Estona	15
Estonas	15
Estonia	45
Estons	15
Etrusc	15
Etrusca	15
Etruscas	15
Etruscs	40
Etter	83
Eufrat	15
Eugen	101
Eugens	15
Eugster	69
Europa	120
European	68
Europeana	40
Europeanas	15
Europeans	53
Eva	101
Eva-Maria	45
Evalina	15
Evalinas	15
Evas	15
Eveline	101
Excel	40
Ezechiel	51
Ezechiels	15
FMR	27
Fabian	88
Fabienne	51
Fabio	65
Facebook	15
Fadrein	15
Fadri	117
Fadrina	88
Fadrinas	15
Fadris	27
Falera	78
Fanas	53
Fankhauser	48
Fanzun	109
Fanzun-Schlegel	15
Farden	15
Fardün	15
Farera	40
Farschno	61
Fasciati	72
Fausch	61
Faust	59
Fausta	15
Faustas	15
Faustin	40
Faustins	15
Fausts	15
Favera	15
Favre	66
Favugn	76
Fehr	71
Felder	35
Feldis	35
Felici	58
Felicits	15
Felix	121
Felixs	15
Ferdinand	64
Ferdinands	15
Fernandes	15
Fernando	69
Ferrari	84
Ferreira	27
Festa	117
Festas	87
Fetz	59
Fex	78
Fidel	56
Fidels	15
Fila	40
Filas	15
Filemon	15
Filemons	15
Filip	74
Filippenser	15
Filippensers	15
Filippensra	15
Filippensras	15
Filippinas	56
Filippus	15
Filips	15
Filisur	83
Filli	131
Finlanda	66
Finlandais	53
Finlandaisa	27
Finlandaisas	15
Firats	15
Firefox	15
Firenza	51
Firà	56
Fischer	94
Flandra	35
Flavia	74
Flavias	15
Flavio	88
Flavios	15
Flaz	97
Flearda	45
Flem	116
